angular.js (1970-01-01 - 2018-01-01),atom (2011-08-18 - 2018-01-01),bootstrap (2011-04-27 - 2018-01-01),cassandra (2009-03-02 - 2018-01-01),clojurescript (2011-06-02 - 2018-01-01),electron (2013-03-13 - 2018-01-01),freebsd (1993-06-12 - 2018-01-01),git (2005-04-07 - 2018-01-01),go (1972-07-18 - 2018-01-01),jquery (2006-03-22 - 2018-01-01),Leaflet (2010-09-01 - 2018-01-01),linux (2005-04-16 - 2018-01-01),llvm (2001-06-06 - 2018-01-01),node (2009-02-16 - 2018-01-01),opencv (2010-05-11 - 2018-01-01),rails (2004-11-24 - 2018-01-01),react (2013-05-29 - 2018-01-01),react-native (2015-01-29 - 2018-01-01),swift (2010-07-17 - 2018-01-01),tensorflow (2015-11-06 - 2018-01-01),vscode (2015-11-13 - 2018-01-01),
0,,,,,,87,53,0,,,1221,90,,,73,,,,,,
0,,,,,,105,51,0,,,1036,100,,,92,,,,,,
0,,,,,,99,,0,,,,109,,,90,,,,,,
0,,,,,,92,,0,,,,109,,,53,,,,,,
0,,,,,,91,,0,,,,109,,,64,,,,,,
0,,,,,,103,,0,,,,101,,,78,,,,,,
0,,,,,,84,,0,,,,109,,,80,,,,,,
0,,,,,,74,,0,,,,107,,,,,,,,,
0,,,,,,94,,0,,,,117,,,,,,,,,
0,,,,,,92,,0,,,,109,,,,,,,,,
0,,,,,,85,,0,,,,110,,,,,,,,,
0,,,,,,89,,0,,,,117,,,,,,,,,
0,,,,,,86,,0,,,,97,,,,,,,,,
0,,,,,,89,,0,,,,129,,,,,,,,,
0,,,,,,98,,0,,,,124,,,,,,,,,
0,,,,,,123,,0,,,,115,,,,,,,,,
0,,,,,,100,,0,,,,116,,,,,,,,,
0,,,,,,100,,0,,,,126,,,,,,,,,
0,,,,,,84,,0,,,,118,,,,,,,,,
0,,,,,,74,,0,,,,134,,,,,,,,,
0,,,,,,78,,0,,,,130,,,,,,,,,
0,,,,,,79,,0,,,,125,,,,,,,,,
0,,,,,,102,,0,,,,129,,,,,,,,,
0,,,,,,97,,0,,,,138,,,,,,,,,
0,,,,,,76,,0,,,,131,,,,,,,,,
0,,,,,,83,,0,,,,155,,,,,,,,,
0,,,,,,98,,0,,,,145,,,,,,,,,
0,,,,,,99,,0,,,,158,,,,,,,,,
0,,,,,,84,,0,,,,170,,,,,,,,,
0,,,,,,88,,0,,,,167,,,,,,,,,
0,,,,,,88,,0,,,,160,,,,,,,,,
0,,,,,,86,,0,,,,169,,,,,,,,,
0,,,,,,102,,0,,,,168,,,,,,,,,
0,,,,,,81,,0,,,,156,,,,,,,,,
0,,,,,,75,,0,,,,169,,,,,,,,,
0,,,,,,84,,0,,,,173,,,,,,,,,
0,,,,,,81,,0,,,,156,,,,,,,,,
0,,,,,,76,,0,,,,185,,,,,,,,,
0,,,,,,75,,1,,,,166,,,,,,,,,
0,,,,,,86,,0,,,,187,,,,,,,,,
0,,,,,,79,,0,,,,174,,,,,,,,,
0,,,,,,87,,0,,,,178,,,,,,,,,
0,,,,,,88,,0,,,,200,,,,,,,,,
0,,,,,,55,,0,,,,204,,,,,,,,,
0,,,,,,84,,0,,,,181,,,,,,,,,
0,,,,,,79,,0,,,,182,,,,,,,,,
0,,,,,,74,,0,,,,178,,,,,,,,,
0,,,,,,89,,0,,,,179,,,,,,,,,
0,,,,,,83,,0,,,,,,,,,,,,,
0,,,,,,100,,0,,,,,,,,,,,,,
0,,,,,,82,,0,,,,,,,,,,,,,
0,,,,,,88,,0,,,,,,,,,,,,,
0,,,,,,83,,0,,,,,,,,,,,,,
0,,,,,,87,,0,,,,,,,,,,,,,
0,,,,,,68,,0,,,,,,,,,,,,,
0,,,,,,98,,0,,,,,,,,,,,,,
0,,,,,,81,,0,,,,,,,,,,,,,
0,,,,,,88,,0,,,,,,,,,,,,,
0,,,,,,75,,0,,,,,,,,,,,,,
0,,,,,,89,,0,,,,,,,,,,,,,
0,,,,,,73,,0,,,,,,,,,,,,,
0,,,,,,80,,0,,,,,,,,,,,,,
0,,,,,,78,,0,,,,,,,,,,,,,
0,,,,,,72,,0,,,,,,,,,,,,,
0,,,,,,75,,0,,,,,,,,,,,,,
0,,,,,,79,,0,,,,,,,,,,,,,
0,,,,,,85,,0,,,,,,,,,,,,,
0,,,,,,62,,0,,,,,,,,,,,,,
0,,,,,,44,,0,,,,,,,,,,,,,
0,,,,,,72,,0,,,,,,,,,,,,,
0,,,,,,78,,0,,,,,,,,,,,,,
0,,,,,,74,,0,,,,,,,,,,,,,
0,,,,,,79,,0,,,,,,,,,,,,,
0,,,,,,91,,0,,,,,,,,,,,,,
0,,,,,,84,,0,,,,,,,,,,,,,
0,,,,,,77,,0,,,,,,,,,,,,,
0,,,,,,93,,0,,,,,,,,,,,,,
0,,,,,,90,,0,,,,,,,,,,,,,
0,,,,,,83,,0,,,,,,,,,,,,,
0,,,,,,78,,0,,,,,,,,,,,,,
0,,,,,,83,,0,,,,,,,,,,,,,
0,,,,,,79,,0,,,,,,,,,,,,,
0,,,,,,96,,0,,,,,,,,,,,,,
0,,,,,,80,,0,,,,,,,,,,,,,
0,,,,,,80,,0,,,,,,,,,,,,,
0,,,,,,91,,0,,,,,,,,,,,,,
0,,,,,,89,,0,,,,,,,,,,,,,
0,,,,,,81,,0,,,,,,,,,,,,,
0,,,,,,100,,0,,,,,,,,,,,,,
0,,,,,,87,,0,,,,,,,,,,,,,
0,,,,,,96,,0,,,,,,,,,,,,,
0,,,,,,81,,0,,,,,,,,,,,,,
0,,,,,,101,,0,,,,,,,,,,,,,
0,,,,,,79,,0,,,,,,,,,,,,,
0,,,,,,95,,0,,,,,,,,,,,,,
0,,,,,,93,,0,,,,,,,,,,,,,
0,,,,,,89,,0,,,,,,,,,,,,,
0,,,,,,87,,0,,,,,,,,,,,,,
0,,,,,,95,,0,,,,,,,,,,,,,
0,,,,,,81,,0,,,,,,,,,,,,,
0,,,,,,84,,0,,,,,,,,,,,,,
0,,,,,,104,,0,,,,,,,,,,,,,
0,,,,,,94,,0,,,,,,,,,,,,,
0,,,,,,85,,0,,,,,,,,,,,,,
0,,,,,,93,,0,,,,,,,,,,,,,
0,,,,,,86,,0,,,,,,,,,,,,,
0,,,,,,91,,0,,,,,,,,,,,,,
0,,,,,,84,,0,,,,,,,,,,,,,
0,,,,,,87,,0,,,,,,,,,,,,,
0,,,,,,89,,0,,,,,,,,,,,,,
0,,,,,,87,,0,,,,,,,,,,,,,
0,,,,,,95,,0,,,,,,,,,,,,,
0,,,,,,93,,0,,,,,,,,,,,,,
0,,,,,,102,,0,,,,,,,,,,,,,
0,,,,,,97,,0,,,,,,,,,,,,,
0,,,,,,97,,0,,,,,,,,,,,,,
0,,,,,,84,,0,,,,,,,,,,,,,
0,,,,,,83,,0,,,,,,,,,,,,,
0,,,,,,94,,0,,,,,,,,,,,,,
0,,,,,,84,,0,,,,,,,,,,,,,
0,,,,,,89,,0,,,,,,,,,,,,,
0,,,,,,92,,0,,,,,,,,,,,,,
0,,,,,,86,,0,,,,,,,,,,,,,
0,,,,,,83,,0,,,,,,,,,,,,,
0,,,,,,95,,0,,,,,,,,,,,,,
0,,,,,,98,,0,,,,,,,,,,,,,
0,,,,,,80,,0,,,,,,,,,,,,,
0,,,,,,92,,0,,,,,,,,,,,,,
0,,,,,,95,,0,,,,,,,,,,,,,
0,,,,,,82,,0,,,,,,,,,,,,,
0,,,,,,85,,0,,,,,,,,,,,,,
0,,,,,,97,,0,,,,,,,,,,,,,
0,,,,,,93,,0,,,,,,,,,,,,,
0,,,,,,97,,0,,,,,,,,,,,,,
0,,,,,,91,,0,,,,,,,,,,,,,
0,,,,,,95,,0,,,,,,,,,,,,,
0,,,,,,84,,0,,,,,,,,,,,,,
0,,,,,,86,,0,,,,,,,,,,,,,
0,,,,,,77,,0,,,,,,,,,,,,,
0,,,,,,104,,0,,,,,,,,,,,,,
0,,,,,,80,,0,,,,,,,,,,,,,
0,,,,,,78,,0,,,,,,,,,,,,,
0,,,,,,88,,0,,,,,,,,,,,,,
0,,,,,,80,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
0,,,,,,,,0,,,,,,,,,,,,,
